Index,Title,popularity,vote_average,vote_count,budget,Collection_name,ID,Certificate,Genre(s),Director(s)
0,Jurassic World Dominion,211.28,0.0,0,165,Jurassic Park Collection,507086,PG-13,"Adventure, Action, Science Fiction, Thriller",Colin Trevorrow
1,Avatar: The Way of Water,267.336,0.0,0,250000000,Avatar Collection,76600,Unknown,"Action, Adventure, Fantasy, Science Fiction",James Cameron
2,Thor: Love and Thunder,143.842,0.0,0,0,Thor Collection,616037,Unknown,"Action, Adventure, Fantasy",Taika Waititi
3,Killers of the Flower Moon,4.932,0.0,0,200000000,,466420,Unknown,"Crime, Drama, Thriller",Martin Scorsese
4,Black Panther: Wakanda Forever,29.88,0.0,0,0,Black Panther Collection,505642,Unknown,"Action, Adventure, Science Fiction",Ryan Coogler
5,Black Adam,27.318,0.0,0,0,,436270,Unknown,"Action, Fantasy, Adventure",Jaume Collet-Serra
6,Halloween Ends,14.959,0.0,0,10000000,Halloween Collection,616820,Unknown,"Horror, Thriller",David Gordon Green
7,Elvis,26.907,0.0,0,0,,614934,Unknown,"Drama, Music, History",Baz Luhrmann
8,Don't Worry Darling,21.156,0.0,0,20000000,,619730,R,"Drama, Mystery, Thriller",Olivia Wilde
9,Knives Out 2,4.641,0.0,0,0,Knives Out Collection,661374,Unknown,"Comedy, Crime, Drama, Mystery",Rian Johnson
10,Uncharted,4449.169,7.2,1798,120000000,,335787,PG-13,"Action, Adventure",Ruben Fleischer
11,Top Gun: Maverick,161.743,0.0,0,152000000,Top Gun Collection,361743,PG-13,"Action, Drama",Joseph Kosinski
12,The Batman,4740.532,7.8,4407,185000000,The Batman Collection,414906,PG-13,"Crime, Mystery, Thriller",Matt Reeves
13,Night Has Fallen,1.4,0.0,0,0,Has Fallen Collection,762409,Unknown,"Action, Thriller",Ric Roman Waugh
14,The 355,290.897,6.0,435,75000000,,522016,PG-13,"Action, Thriller",Simon Kinberg
15,Stars at Noon,7.823,0.0,0,0,,603204,Unknown,"Drama, Romance, Thriller",Claire Denis
16,Ambulance,2670.696,7.0,517,40000000,,763285,R,"Action, Thriller, Crime",Michael Bay
17,Deep Water,302.831,5.6,541,0,,619979,R,"Drama, Mystery, Thriller",Adrian Lyne
18,Sonic the Hedgehog 2,12851.144,7.7,1153,110000000,Sonic the Hedgehog Collection,675353,PG,"Action, Science Fiction, Comedy, Family, Adventure",Jeff Fowler
19,Scream,507.025,6.8,1255,24000000,Scream Collection,646385,R,"Horror, Mystery, Thriller","Matt Bettinelli-Olpin, Tyler Gillett"
20,Doctor Strange in the Multiverse of Madness,5007.839,7.5,1163,200000000,Doctor Strange Collection,453395,PG-13,"Fantasy, Action, Adventure",Sam Raimi
21,Hocus Pocus 2,11.906,0.0,0,0,The Hocus Pocus Collection,642885,Unknown,"Fantasy, Family, Comedy",Anne Fletcher
22,Death on the Nile,256.853,6.5,1604,90000000,Hercule Poirot Collection,505026,PG-13,"Crime, Drama, Mystery, Thriller",Kenneth Branagh
23,Creed III,33.242,0.0,0,0,Creed Collection,677179,Unknown,"Drama, Action",Michael B. Jordan
24,Django/Zorro,0.6,0.0,0,0,,615464,Unknown,"Western, Action",
25,Disappointment Blvd.,2.639,0.0,0,0,,798286,Unknown,"Comedy, Drama, Horror",Ari Aster
