Title,popularity,vote_average,vote_count,budget,Collection_name
Jurassic World Dominion,211.28,0.0,0,165,Jurassic Park Collection
Avatar: The Way of Water,267.336,0.0,0,250000000,Avatar Collection
Thor: Love and Thunder,143.842,0.0,0,0,Thor Collection
Killers of the Flower Moon,4.932,0.0,0,200000000,
Black Panther: Wakanda Forever,29.88,0.0,0,0,Black Panther Collection
Black Adam,27.318,0.0,0,0,
Halloween Ends,14.959,0.0,0,10000000,Halloween Collection
Elvis,26.907,0.0,0,0,
Don't Worry Darling,21.156,0.0,0,20000000,
Knives Out 2,4.641,0.0,0,0,Knives Out Collection
Uncharted,4449.169,7.2,1798,120000000,
Top Gun: Maverick,161.743,0.0,0,152000000,Top Gun Collection
The Batman,4740.532,7.8,4407,185000000,The Batman Collection
Night Has Fallen,1.4,0.0,0,0,Has Fallen Collection
The 355,290.897,6.0,435,75000000,
Stars at Noon,7.823,0.0,0,0,
Ambulance,2670.696,7.0,517,40000000,
Deep Water,302.831,5.6,541,0,
Sonic the Hedgehog 2,12851.144,7.7,1153,110000000,Sonic the Hedgehog Collection
Scream,507.025,6.8,1255,24000000,Scream Collection
Doctor Strange in the Multiverse of Madness,5007.839,7.5,1163,200000000,Doctor Strange Collection
Hocus Pocus 2,11.906,0.0,0,0,The Hocus Pocus Collection
Death on the Nile,256.853,6.5,1604,90000000,Hercule Poirot Collection
Creed III,33.242,0.0,0,0,Creed Collection
Django/Zorro,0.6,0.0,0,0,
Disappointment Blvd.,2.639,0.0,0,0,
Batgirl,3.733,0.0,0,0,
Baby Driver 2,4.017,0.0,0,0,Baby Driver Collection
Slumberland,2.314,0.0,0,0,
Fantastic Beasts: The Secrets of Dumbledore,826.325,6.8,923,200000000,Fantastic Beasts Collection
Morbius,651.781,5.9,594,75000000,
The Unbearable Weight of Massive Talent,51.435,7.3,90,30000000,
Moonfall,2231.435,6.5,937,146000000,
Jackass Forever,420.947,6.9,335,10000000,Jackass Collection
Extraction 2,10.324,0.0,0,0,Extraction Collection
"Red, White and Water",3.377,0.0,0,0,
Mob Girl,1.214,0.0,0,0,
The Black Hand,1.464,0.0,0,0,
The Good Spy,0.6,0.0,0,0,
The Bob's Burgers Movie,13.322,0.0,0,0,
Good Mourning,9.584,0.0,0,0,
Big Gold Brick,6.502,4.9,8,0,
I Want You Back,63.599,6.3,140,0,
Enola Holmes 2,5.876,0.0,0,0,Enola Holmes Collection
Argylle,4.802,0.0,0,0,
Flux Gourmet,3.295,0.0,0,0,
Choose or Die,45.532,5.3,309,0,
Umma,74.788,6.1,67,0,
Bullet Train,28.623,0.0,0,0,
The Northman,318.974,7.7,462,70000000,
Downton Abbey: A New Era,33.281,7.5,47,0,Downton Abbey Collection
The Adam Project,919.599,7.0,2122,116000000,
Lightyear,47.867,0.0,0,0,
The Gray Man,12.215,0.0,0,200000000,
Night at the Museum: Kahmunrah Rises Again,0.6,0.0,0,0,
Poor Things,3.683,0.0,0,0,
Hotel Transylvania: Transformania,914.217,7.1,833,0,Hotel Transylvania Collection
Paws of Fury: The Legend of Hank,12.732,0.0,0,0,
लाल सिंह चड्ढा,1.822,0.0,0,0,
Nightmare Alley,367.019,7.0,1612,60000000,
Cat Person,1.444,0.0,0,0,
Rumble,31.773,6.9,278,0,
The Retirement Plan,2.679,0.0,0,0,
Newsflash,1.953,0.0,0,0,
The Black Phone,54.509,0.0,0,0,
One True Loves,1.499,0.0,0,0,
Arthur the King,2.051,3.6,5,0,
Blacklight,1059.436,6.2,345,43000000,
Senior Year,38.645,6.0,2,0,
Hate to See You Go,0.951,0.0,0,0,
Triangle of Sadness,5.017,0.0,0,15600000,
Me Time,3.89,0.0,0,0,
