Title,ID,Certificate
Jurassic World Dominion,507086,PG-13
Avatar: The Way of Water,76600,Unknown
Thor: Love and Thunder,616037,Unknown
Killers of the Flower Moon,466420,Unknown
Black Panther: Wakanda Forever,505642,Unknown
Black Adam,436270,Unknown
Halloween Ends,616820,Unknown
Elvis,614934,Unknown
Don't Worry Darling,619730,R
Knives Out 2,661374,Unknown
Uncharted,335787,PG-13
Top Gun: Maverick,361743,PG-13
The Batman,414906,PG-13
Night Has Fallen,762409,Unknown
The 355,522016,PG-13
Stars at Noon,603204,Unknown
Ambulance,763285,R
Deep Water,619979,R
Sonic the Hedgehog 2,675353,PG
Scream,646385,R
Doctor Strange in the Multiverse of Madness,453395,PG-13
Hocus Pocus 2,642885,Unknown
Death on the Nile,505026,PG-13
Creed III,677179,Unknown
Django/Zorro,615464,Unknown
Disappointment Blvd.,798286,Unknown
Batgirl,784589,Unknown
Baby Driver 2,628861,Unknown
Slumberland,668461,PG
Fantastic Beasts: The Secrets of Dumbledore,338953,PG-13
Morbius,526896,PG-13
The Unbearable Weight of Massive Talent,648579,R
Moonfall,406759,PG-13
Jackass Forever,656663,R
Extraction 2,697843,Unknown
"Red, White and Water",595586,Unknown
Mob Girl,618059,Unknown
The Black Hand,438425,Unknown
The Good Spy,607905,Unknown
The Bob's Burgers Movie,504827,PG-13
Good Mourning,865686,R
Big Gold Brick,624798,Unknown
I Want You Back,680860,R
Enola Holmes 2,829280,Unknown
Argylle,848538,Unknown
Flux Gourmet,848818,Unknown
Choose or Die,838484,MA-17
Umma,751237,PG-13
Bullet Train,718930,Unknown
The Northman,639933,R
Downton Abbey: A New Era,820446,PG
The Adam Project,696806,PG-13
Lightyear,718789,Unknown
The Gray Man,725201,Unknown
Night at the Museum: Kahmunrah Rises Again,751741,Unknown
Poor Things,792307,Unknown
Hotel Transylvania: Transformania,585083,PG
Paws of Fury: The Legend of Hank,366672,PG
Laal Singh Chaddha,601635,Unknown
Nightmare Alley,597208,R
Cat Person,843394,Unknown
Rumble,598331,PG
The Retirement Plan,866346,Unknown
Newsflash,492253,Unknown
The Black Phone,756999,R
One True Loves,846961,Unknown
Arthur the King,134542,Unknown
Blacklight,823625,PG-13
Senior Year,800937,R
Hate to See You Go,838773,Unknown
Triangle of Sadness,497828,Unknown
Me Time,862551,Unknown
