Title,popularity,vote_average,vote_count,budget,Collection_name,ID,Certificate
Jurassic World Dominion,211.28,0.0,0,165,Jurassic Park Collection,507086,PG-13
Avatar: The Way of Water,267.336,0.0,0,250000000,Avatar Collection,76600,Unknown
Thor: Love and Thunder,143.842,0.0,0,0,Thor Collection,616037,Unknown
Killers of the Flower Moon,4.932,0.0,0,200000000,,466420,Unknown
Black Panther: Wakanda Forever,29.88,0.0,0,0,Black Panther Collection,505642,Unknown
Black Adam,27.318,0.0,0,0,,436270,Unknown
Halloween Ends,14.959,0.0,0,10000000,Halloween Collection,616820,Unknown
Elvis,26.907,0.0,0,0,,614934,Unknown
Don't Worry Darling,21.156,0.0,0,20000000,,619730,R
Knives Out 2,4.641,0.0,0,0,Knives Out Collection,661374,Unknown
Uncharted,4449.169,7.2,1798,120000000,,335787,PG-13
Top Gun: Maverick,161.743,0.0,0,152000000,Top Gun Collection,361743,PG-13
The Batman,4740.532,7.8,4407,185000000,The Batman Collection,414906,PG-13
Night Has Fallen,1.4,0.0,0,0,Has Fallen Collection,762409,Unknown
The 355,290.897,6.0,435,75000000,,522016,PG-13
Stars at Noon,7.823,0.0,0,0,,603204,Unknown
Ambulance,2670.696,7.0,517,40000000,,763285,R
Deep Water,302.831,5.6,541,0,,619979,R
Sonic the Hedgehog 2,12851.144,7.7,1153,110000000,Sonic the Hedgehog Collection,675353,PG
Scream,507.025,6.8,1255,24000000,Scream Collection,646385,R
Doctor Strange in the Multiverse of Madness,5007.839,7.5,1163,200000000,Doctor Strange Collection,453395,PG-13
Hocus Pocus 2,11.906,0.0,0,0,The Hocus Pocus Collection,642885,Unknown
Death on the Nile,256.853,6.5,1604,90000000,Hercule Poirot Collection,505026,PG-13
Creed III,33.242,0.0,0,0,Creed Collection,677179,Unknown
Django/Zorro,0.6,0.0,0,0,,615464,Unknown
Disappointment Blvd.,2.639,0.0,0,0,,798286,Unknown
Batgirl,3.733,0.0,0,0,,784589,Unknown
Baby Driver 2,4.017,0.0,0,0,Baby Driver Collection,628861,Unknown
Slumberland,2.314,0.0,0,0,,668461,PG
Fantastic Beasts: The Secrets of Dumbledore,826.325,6.8,923,200000000,Fantastic Beasts Collection,338953,PG-13
Morbius,651.781,5.9,594,75000000,,526896,PG-13
The Unbearable Weight of Massive Talent,51.435,7.3,90,30000000,,648579,R
Moonfall,2231.435,6.5,937,146000000,,406759,PG-13
Jackass Forever,420.947,6.9,335,10000000,Jackass Collection,656663,R
Extraction 2,10.324,0.0,0,0,Extraction Collection,697843,Unknown
"Red, White and Water",3.377,0.0,0,0,,595586,Unknown
Mob Girl,1.214,0.0,0,0,,618059,Unknown
The Black Hand,1.464,0.0,0,0,,438425,Unknown
The Good Spy,0.6,0.0,0,0,,607905,Unknown
The Bob's Burgers Movie,13.322,0.0,0,0,,504827,PG-13
Good Mourning,9.584,0.0,0,0,,865686,R
Big Gold Brick,6.502,4.9,8,0,,624798,Unknown
I Want You Back,63.599,6.3,140,0,,680860,R
Enola Holmes 2,5.876,0.0,0,0,Enola Holmes Collection,829280,Unknown
Argylle,4.802,0.0,0,0,,848538,Unknown
Flux Gourmet,3.295,0.0,0,0,,848818,Unknown
Choose or Die,45.532,5.3,309,0,,838484,MA-17
Umma,74.788,6.1,67,0,,751237,PG-13
Bullet Train,28.623,0.0,0,0,,718930,Unknown
The Northman,318.974,7.7,462,70000000,,639933,R
Downton Abbey: A New Era,33.281,7.5,47,0,Downton Abbey Collection,820446,PG
The Adam Project,919.599,7.0,2122,116000000,,696806,PG-13
Lightyear,47.867,0.0,0,0,,718789,Unknown
The Gray Man,12.215,0.0,0,200000000,,725201,Unknown
Night at the Museum: Kahmunrah Rises Again,0.6,0.0,0,0,,751741,Unknown
Poor Things,3.683,0.0,0,0,,792307,Unknown
Hotel Transylvania: Transformania,914.217,7.1,833,0,Hotel Transylvania Collection,585083,PG
Paws of Fury: The Legend of Hank,12.732,0.0,0,0,,366672,PG
Nightmare Alley,367.019,7.0,1612,60000000,,597208,R
Cat Person,1.444,0.0,0,0,,843394,Unknown
Rumble,31.773,6.9,278,0,,598331,PG
The Retirement Plan,2.679,0.0,0,0,,866346,Unknown
Newsflash,1.953,0.0,0,0,,492253,Unknown
The Black Phone,54.509,0.0,0,0,,756999,R
One True Loves,1.499,0.0,0,0,,846961,Unknown
Arthur the King,2.051,3.6,5,0,,134542,Unknown
Blacklight,1059.436,6.2,345,43000000,,823625,PG-13
Senior Year,38.645,6.0,2,0,,800937,R
Hate to See You Go,0.951,0.0,0,0,,838773,Unknown
Triangle of Sadness,5.017,0.0,0,15600000,,497828,Unknown
Me Time,3.89,0.0,0,0,,862551,Unknown
