Title,Director,Certificate,Runtime,Genre,IMDb Rating,Gross,Votes,Metascore
Avengers: Infinity War,Anthony Russo,PG-13,149 min,"Action, Adventure, Sci-Fi",8.4,678.82,1012397,68
The Favourite,Yorgos Lanthimos,R,119 min,"Biography, Comedy, Drama",7.5,34.37,194886,91
Eighth Grade,Bo Burnham,R,93 min,"Comedy, Drama",7.4,13.54,73937,89
A Star Is Born,Bradley Cooper,R,136 min,"Drama, Music, Romance",7.6,215.29,372860,88
Hereditary,Ari Aster,R,127 min,"Drama, Horror, Mystery",7.3,44.07,292041,87
A Quiet Place,John Krasinski,PG-13,90 min,"Drama, Horror, Sci-Fi",7.5,188.02,506394,82
BlacKkKlansman,Spike Lee,R,135 min,"Biography, Comedy, Crime",7.5,49.28,255481,83
Mission: Impossible - Fallout,Christopher McQuarrie,PG-13,147 min,"Action, Adventure, Thriller",7.7,220.16,320935,86
Spider-Man: Into the Spider-Verse,Bob Persichetti,PG,117 min,"Animation, Action, Adventure",8.4,190.24,489260,87
Aquaman,James Wan,PG-13,143 min,"Action, Adventure, Fantasy",6.8,335.06,445304,55
Bad Times at the El Royale,Drew Goddard,R,141 min,"Crime, Drama, Mystery",7.1,17.84,145247,60
If Beale Street Could Talk,Barry Jenkins,R,119 min,"Drama, Romance",7.1,14.92,48062,87
Deadpool 2,David Leitch,R,119 min,"Action, Adventure, Comedy",7.7,324.59,553214,66
Beautiful Boy,Felix van Groeningen,R,120 min,"Biography, Drama",7.3,7.65,71929,62
Vice,Adam McKay,R,132 min,"Biography, Comedy, Drama",7.2,47.84,141855,61
First Reformed,Paul Schrader,R,113 min,"Drama, Mystery, Thriller",7.1,3.45,55175,85
Blindspotting,Carlos López Estrada,R,95 min,"Comedy, Crime, Drama",7.4,4.33,30451,77
Annihilation,Alex Garland,R,115 min,"Adventure, Drama, Horror",6.8,32.73,313444,79
Upgrade,Leigh Whannell,R,100 min,"Action, Sci-Fi, Thriller",7.5,11.98,180469,67
Incredibles 2,Brad Bird,PG,118 min,"Animation, Action, Adventure",7.6,608.58,285177,80
Black Panther,Ryan Coogler,PG-13,134 min,"Action, Adventure, Sci-Fi",7.3,700.06,720911,88
The Old Man & the Gun,David Lowery,PG-13,93 min,"Biography, Comedy, Crime",6.7,11.28,45158,80
"Don't Worry, He Won't Get Far on Foot",Gus Van Sant,R,114 min,"Biography, Comedy, Drama",6.8,1.44,26093,67
Sorry to Bother You,Boots Riley,R,112 min,"Comedy, Drama, Fantasy",6.9,17.49,75880,80
Mid90s,Jonah Hill,R,85 min,"Comedy, Drama",7.3,7.36,61601,66
Can You Ever Forgive Me?,Marielle Heller,R,106 min,"Biography, Comedy, Crime",7.1,8.80,51488,87
Instant Family,Sean Anders,PG-13,118 min,"Comedy, Drama",7.3,67.36,104179,57
Ant-Man and the Wasp,Peyton Reed,PG-13,118 min,"Action, Adventure, Comedy",7,216.65,378648,70
Widows,Steve McQueen,R,129 min,"Crime, Drama, Thriller",6.9,42.40,95882,84
The Mule,Clint Eastwood,R,116 min,"Crime, Drama, Thriller",7,103.80,132920,58
You Were Never Really Here,Lynne Ramsay,R,89 min,"Crime, Drama",6.8,2.52,116912,84
Boy Erased,Joel Edgerton,R,115 min,"Biography, Drama",6.9,6.79,37893,69
Ben Is Back,Peter Hedges,R,103 min,Drama,6.7,3.70,21148,66
Bird Box,Susanne Bier,R,124 min,"Horror, Sci-Fi",6.6,0,325213,51
Sicario: Day of the Soldado,Stefano Sollima,R,122 min,"Action, Adventure, Crime",7.1,50.07,143449,61
"Love, Simon",Greg Berlanti,PG-13,110 min,"Comedy, Drama, Romance",7.5,40.83,111301,72
Green Book,Peter Farrelly,PG-13,130 min,"Biography, Comedy, Drama",8.2,85.08,463615,69
Creed II,Steven Caple Jr.,PG-13,130 min,"Drama, Sport",7.1,115.72,120882,66
White Boy Rick,Yann Demange,R,111 min,"Crime, Drama",6.5,24.01,36803,59
Hostiles,Scott Cooper,R,134 min,"Drama, Western",7.2,29.82,82716,65
Bohemian Rhapsody,Bryan Singer,PG-13,134 min,"Biography, Drama, Music",7.9,216.43,516614,49
Ready Player One,Steven Spielberg,PG-13,140 min,"Action, Adventure, Sci-Fi",7.4,137.69,420732,64
Game Night,John Francis Daley,R,100 min,"Action, Adventure, Comedy",6.9,69.18,229188,66
Mandy,Panos Cosmatos,Not Rated,121 min,"Action, Fantasy, Horror",6.5,1.21,75645,81
Solo: A Star Wars Story,Ron Howard,PG-13,135 min,"Action, Adventure, Sci-Fi",6.9,213.77,331019,62
The Meg,Jon Turteltaub,PG-13,113 min,"Action, Horror, Sci-Fi",5.6,143.01,166937,46
Tag,Jeff Tomsic,R,100 min,"Action, Comedy",6.5,54.55,130237,56
Blockers,Kay Cannon,R,102 min,Comedy,6.2,60.31,78461,69
Mile 22,Peter Berg,R,94 min,"Action, Thriller",6.1,36.11,77863,38
