Index,Genre(s)
0,"Adventure, Action, Science Fiction, Thriller"
1,"Action, Adventure, Fantasy, Science Fiction"
2,"Action, Adventure, Fantasy"
3,"Crime, Drama, Thriller"
4,"Action, Adventure, Science Fiction"
5,"Action, Fantasy, Adventure"
6,"Horror, Thriller"
7,"Drama, Music, History"
8,"Drama, Mystery, Thriller"
9,"Comedy, Crime, Drama, Mystery"
10,"Action, Adventure"
11,"Action, Drama"
12,"Crime, Mystery, Thriller"
13,"Action, Thriller"
14,"Action, Thriller"
15,"Drama, Romance, Thriller"
16,"Action, Thriller, Crime"
17,"Drama, Mystery, Thriller"
18,"Action, Science Fiction, Comedy, Family, Adventure"
19,"Horror, Mystery, Thriller"
20,"Fantasy, Action, Adventure"
21,"Fantasy, Family, Comedy"
22,"Crime, Drama, Mystery, Thriller"
23,"Drama, Action"
24,"Western, Action"
25,"Comedy, Drama, Horror"
26,"Action, Adventure, Crime"
27,"Action, Crime"
28,"Adventure, Fantasy, Family"
29,"Fantasy, Adventure"
30,"Action, Science Fiction, Fantasy"
31,"Action, Comedy, Crime"
32,"Science Fiction, Adventure, Action"
33,"Comedy, Action, Documentary"
34,"Action, Thriller"
35,Drama
36,"Drama, Crime, History"
37,Drama
38,Drama
39,"Animation, Adventure, Comedy"
40,Comedy
41,"Comedy, Fantasy"
42,"Comedy, Romance"
43,"Mystery, Adventure, Drama"
44,Thriller
45,"Drama, Comedy, Horror"
46,"Horror, Thriller, Drama"
47,"Horror, Mystery"
48,"Action, Thriller, Mystery"
49,"Action, Adventure, Fantasy, Thriller"
50,"Drama, History, Romance"
51,"Action, Adventure, Comedy, Science Fiction"
52,"Animation, Science Fiction, Adventure, Family, Action, Comedy"
53,"Action, Thriller, Adventure"
54,"Animation, Comedy, Family, Fantasy"
55,"Romance, Comedy, Science Fiction"
56,"Animation, Family, Fantasy, Comedy, Adventure"
57,"Family, Comedy, Animation, Action"
58,"Drama, Comedy, Romance"
59,"Crime, Drama, Thriller"
60,Thriller
61,"Family, Comedy, Animation"
62,"Comedy, Action"
63,"Drama, History"
64,"Horror, Thriller"
65,"Romance, Comedy"
66,"TV Movie, Fantasy, Adventure"
67,"Action, Thriller"
68,Comedy
69,""
70,"Comedy, Drama"
71,Comedy
