Colin Trevorrow
James Cameron
Taika Waititi
Martin Scorsese
Ryan Coogler
Jaume Collet-Serra
David Gordon Green
Baz Luhrmann
Olivia Wilde
Rian Johnson
Ruben Fleischer
Joseph Kosinski
Matt Reeves
Ric Roman Waugh
Simon Kinberg
Claire Denis
Michael Bay
Adrian Lyne
Jeff Fowler
"Matt Bettinelli-Olpin, Tyler Gillett"
Sam Raimi
Anne Fletcher
Kenneth Branagh
Michael B. Jordan
""
Ari Aster
"Adil El Arbi, Bilall Fallah"
Edgar Wright
Francis Lawrence
David Yates
Daniel Espinosa
Tom Gormican
Roland Emmerich
Jeff Tremaine
Sam Hargrave
Lila Neugebauer
Paolo Sorrentino
""
Baltasar Kormákur
"Loren Bouchard, Bernard Derriman"
"Machine Gun Kelly, Mod Sun"
Brian Petsos
Jason Orley
Harry Bradbeer
Matthew Vaughn
Peter Strickland
Toby Meakins
Iris K. Shim
David Leitch
Robert Eggers
Simon Curtis
Shawn Levy
Angus MacLane
"Anthony Russo, Joe Russo"
""
Yorgos Lanthimos
"Derek Drymon, Jennifer Kluska"
"Rob Minkoff, Mark Koetsier"
Advait Chandan
Guillermo del Toro
Susanna Fogel
Hamish Grieve
Tim Brown
Alfonso Gomez-Rejon
Scott Derrickson
Andy Fickman
Clive Donner
Mark Williams
Alex Hardcastle
Ben Tishler
Ruben Östlund
John Hamburg
